	Cu metal	Cu2O	CuO	
9003.8	1.11675595234966	1.03020401093132	1.13454156346291	
9004	1.11155418191622	1.03261066938534	1.12852998186582	
9004.2	1.1078593768442	1.03862731552033	1.12367381290314	
9004.4	1.09909568828419	1.04344510577089	1.11765565546918	
9004.6	1.09156497138345	1.04348089251378	1.11276613678746	
9004.8	1.08595221039703	1.04705062010896	1.10435121143719	
9005	1.07938047145341	1.04947517193439	1.09950805449425	
9005.2	1.07239774195678	1.05188183038839	1.09347688504051	
9005.4	1.06582600301317	1.05428848884226	1.08862640690618	
9005.6	1.0582952861124	1.05435111564223	1.08016860704297	
9005.8	1.05268252512603	1.05785374309481	1.0741289101214	
9006	1.0472067609906	1.06262679991696	1.07172247018921	
9006.2	1.04159400000415	1.06512292522796	1.06689859845771	
9006.4	1.03611823586877	1.06522133877067	1.06327442757216	
9006.6	1.03269742449875	1.07096958433447	1.05845438969642	
9006.8	1.0305095847879	1.07584105469949	1.05242586994258	
9007	1.02503382065247	1.07609156189912	1.05236122131957	
9007.2	1.02161300928244	1.07996547680823	1.05237741838077	
9007.4	1.01942516957157	1.08466248680204	1.05196147539189	
9007.6	1.01394940543617	1.08712282537027	1.047027098379	
9007.8	1.00943261925794	1.09078201982242	1.04179725405705	
9008	1.00587481103683	1.0955058698734	1.04554395175604	
9008.2	1.00149502170963	1.09803330858422	1.05021632027955	
9008.4	0.999444178849844	1.10401416797636	1.05247460074798	
9008.6	0.99725633913895	1.10879617148437	1.05249079780918	
9008.8	0.991780575003589	1.11243299922226	1.05250699487038	
9009	0.988359763633542	1.11720158270177	1.05252319193159	
9009.2	0.98617192392265	1.1195724544129	1.05253938899279	
9009.4	0.980696159787265	1.11963955455565	1.05291551971382	
9009.6	0.977275348417242	1.12564725400488	1.0589178512352	
9009.8	0.977279458322772	1.13044267754134	1.06352099648752	
9010	0.977283568228303	1.13044267754134	1.06353719354872	
9010.2	0.977287678133834	1.13405266522237	1.06355339060992	
9010.4	0.976195813231176	1.13646379701905	1.06356958767112	
9010.6	0.972638005010076	1.1340929253079	1.06358578473233	
9010.8	0.96825821568288	1.13049635765564	1.06360198179353	
9011	0.966207372823064	1.13044267754134	1.06374588806293	
9011.2	0.966211482728595	1.1257188274904	1.06735624062463	
9011.4	0.966215592634126	1.11972902141282	1.06979451800703	
9011.6	0.965123727731457	1.11722842275885	1.07223279538944	
9011.8	0.962661894318567	1.11248667933646	1.07461598341066	
9012	0.962392010522078	1.10883643157002	1.07463218047187	
9012.2	0.964862063746027	1.10870223128445	1.07460767827536	
9012.4	0.966236142161779	1.10639398637329	1.07216745350866	
9012.6	0.96624025206731	1.10398732791928	1.06735139065702	
9012.8	0.96624436197284	1.10387102100514	1.06376395240554	
9013	0.966248471878371	1.10387102100514	1.06378014946675	
9013.2	0.966252581783902	1.10399627460493	1.06379634652795	
9013.4	0.968996628709906	1.10640293305893	1.06381254358915	
9013.6	0.974617609507413	1.10870223128445	1.06382874065035	
9013.8	0.977361656433387	1.10870223128445	1.06384493771155	
9014	0.977365766338918	1.10870223128445	1.06386113477275	
9014.2	0.979013838456766	1.10870223128445	1.06387733183396	
9014.4	0.983264850743988	1.10870223128445	1.06389352889516	
9014.6	0.98710487247818	1.10870223128445	1.06390972595636	
9014.8	0.988478950893933	1.10870223128445	1.06154774697588	
9015	0.988483060799464	1.10870223128445	1.05633549040141	
9015.2	0.990679120321393	1.10866644454156	1.05302530082884	
9015.4	0.993971154651466	1.10623294603059	1.05304149789004	
9015.6	0.995756223620319	1.10142857580835	1.05305769495124	
9015.8	0.998226276844248	1.09782306147037	1.05289032283712	
9016	0.999600355260009	1.09541640301635	1.05048388290495	
9016.2	1.00234440218607	1.09060308610831	1.04807744297286	
9016.4	1.00796538298352	1.0869886250847	1.04558958770111	
9016.6	1.01235339212181	1.08457301994501	1.04220566394612	
9016.8	1.01660440440904	1.07978654309438	1.04207304236427	
9017	1.02044442614323	1.07615866204191	1.03966660243221	
9017.2	1.02455844157951	1.07136771184813	1.03726016250004	
9017.4	1.03017942237694	1.06302492743083	1.03478968548981	
9017.6	1.03292346930293	1.05811767032292	1.031353632941	
9017.8	1.03457154142076	1.05447189589916	1.03125576189155	
9018	1.03882255370803	1.04969883907702	1.02874215140741	
9018.2	1.0426625754422	1.04372692637056	1.0239627835229	
9018.4	1.04403665385795	1.04117264760262	1.02039168453161	
9018.6	1.04404076376348	1.03646669092309	1.01789842649191	
9018.8	1.04678481068948	1.03279854978502	1.01310888180044	
9019	1.05240579148699	1.02804785967713	1.00945421773066	
9019.2	1.05679380062528	1.02174044625689	1.00459120572628	
9019.4	1.06104481291253	1.02174044625689	0.998700357558435	
9019.6	1.06488483464671	1.0215257257999	0.998610492815423	
9019.8	1.06790287527473	1.01666320212081	0.993757658787914	
9020	1.07215388756201	1.01087022312845	0.987776054007918	
9020.2	1.07544592189209	1.01087022312845	0.985336650264616	
9020.4	1.07668300345682	1.01087022312845	0.980520176877688	
9020.6	1.07737209761746	1.01080759632848	0.976892441503325	
9020.8	1.08011614454349	1.00834725776042	0.972056361289459	
9021	1.08573712534098	1.00355630756669	0.966024500844415	
9021.2	1.08848117226695	1	0.963618060912245	
9021.4	1.08848528217248	1	0.958788965162961	
9021.6	1.09013335429033	1	0.955167406436526	
9021.8	1.09438436657755	1	0.95034475640167	
9022	1.09822438831174	1	0.944313624188951	
9022.2	1.10124242893981	0.995186683091962	0.944262034859621	
9022.4	1.10549344122706	0.989174510300114	0.938846445383322	
9022.6	1.10933346296124	0.989129776871556	0.933361412670896	
9022.8	1.11070754137698	0.989129776871556	0.93316228672266	
9023	1.11071165128251	0.98675890516043	0.93075584679057	
9023.2	1.11235972340037	0.98435224670641	0.928349406858412	
9023.4	1.11661073568761	0.981945588252541	0.925845671932847	
9023.6	1.12045075742178	0.978366913971523	0.922509381665777	
9023.8	1.12182483583753	0.978259553743111	0.922345006249933	
9024	1.12182894574306	0.978259553743111	0.91976487611256	
9024.2	1.12183305564859	0.978259553743111	0.915018769965948	
9024.4	1.12293314036231	0.978259553743111	0.911641153599456	
9024.6	1.12321124396987	0.978259553743111	0.911657350660657	
9024.8	1.12348934757746	0.978259553743111	0.911673547721859	
9025	1.12554841024834	0.975978148889031	0.911551124220745	
9025.2	1.12390855794157	0.973303089863989	0.909144684288677	
9025.4	1.12350167729407	0.970838277952945	0.906738244356514	
9025.6	1.12556073996493	0.967550370957407	0.904272867265635	
9025.8	1.1239208876582	0.971111151866858	0.90082151671674	
9026	1.12187004479836	0.973338876606775	0.900837713777941	
9026.2	1.1218741547039	0.97089195806725	0.900853910839144	
9026.4	1.12078228980124	0.967460904100274	0.900870107900345	
9026.6	1.11722448158014	0.96974230895435	0.900886304961547	
9026.8	1.11284469225294	0.967389330614665	0.900902502022748	
9027	1.11079384939313	0.967389330614665	0.900918699083951	
9027.2	1.10970198449044	0.967389330614665	0.900934896145152	
9027.4	1.10614417626939	0.967389330614665	0.900951093206355	
9027.6	1.10176438694216	0.967389330614665	0.900967290267555	
9027.8	1.09861756927416	0.967389330614665	0.900983487328756	
9028	1.09505976105306	0.967389330614665	0.900999684389959	
9028.2	1.09067997172586	0.967389330614665	0.901015881451159	
9028.4	1.08862912886605	0.967389330614665	0.901032078512362	
9028.6	1.08753726396337	0.967389330614665	0.901063649244672	
9028.8	1.08397945574232	0.967389330614665	0.90471144268319	
9029	1.07959966641509	0.967389330614665	0.907149720065613	
9029.2	1.07700083615118	0.965027405589173	0.909587997448144	
9029.4	1.07577197439751	0.962620747135304	0.912026274830545	
9029.6	1.07289915043153	0.962558120335357	0.9120622771907	
9029.8	1.06742338629614	0.962558120335357	0.912078474251901	
9030	1.0618106253097	0.964884258617962	0.912665861685786	
9030.2	1.05743083598247	0.967290917071976	0.91862595157198	
9030.4	1.05428401831449	0.967389330614665	0.923060081746634	
9030.6	1.05182218490159	0.967389330614665	0.923384751461567	
9030.8	1.0493603514887	0.967389330614665	0.926934856464002	
9031	1.04635053067171	0.967389330614665	0.929373133846424	
9031.2	1.04320371300371	0.967389330614665	0.931811411228834	
9031.4	1.03964590478262	0.967563790985869	0.934513020838635	
9031.6	1.0352661154554	0.971120098552641	0.940499555227248	
9031.8	1.03321527259561	0.973428343463802	0.9450394937973	
9032	1.03321938250114	0.973517810320852	0.945055690858503	
9032.2	1.03103154279025	0.975924468774743	0.945290200747457	
9032.4	1.02555577865487	0.978259553743111	0.949008255703075	
9032.6	1.02213496728484	0.978259553743111	0.953737913003668	
9032.8	1.02213907719037	0.978259553743111	0.956053495414435	
9033	1.02104721228771	0.978259553743111	0.956242925390136	
9033.2	1.01748940406659	0.978313233857413	0.959945957160713	
9033.4	1.01310961473942	0.981909801509675	0.964705662557816	
9033.6	1.0110587718796	0.984316459963693	0.967190251943071	
9033.8	1.01106288178514	0.98672311841756	0.970881859358388	
9034	1.01106699169067	0.989129776871556	0.975664414778489	
9034.2	1.0105231141921	0.989129776871556	0.978137578496002	
9034.4	1.01039022724662	0.992726344523869	0.981817761555885	
9034.6	1.00998334659905	0.99514194966361	0.986623166999048	
9034.8	1.00752151318618	0.995168789720692	0.989014514959835	
9035	1.00505967977328	0.997539661431819	0.989130019141992	
9035.2	1.00204985895627	0.999946319885838	0.995184463995245	
9035.4	0.999999016096487	1	0.999996122454569	
9035.6	1.00000312600202	1	1.00001231951577	
9035.8	1.00165119811983	1	1.00005269914008	
9036	1.00480623559891	1	1.0061221654528	
9036.2	1.00508433920644	1.00347578739545	1.01098196667624	
9036.4	1.00371848060177	1.00823989753185	1.01463406509553	
9036.6	1.0048185653155	1.01075391621429	1.01948706863228	
9036.8	1.00509666892305	1.01087022312845	1.02194669837698	
9037	1.00208684810606	1.01087022312845	1.02199173156644	
9037.2	1.00167996745856	1.01087022312845	1.02797201197328	
9037.4	1.00483500493763	1.01110283695671	1.03295714199997	
9037.6	1.00730505816159	1.01575511352199	1.03328986419153	
9037.8	1.00977511138552	1.01700764952027	1.03704064905983	
9038	1.01114918980128	1.01941430797429	1.04170484277474	
9038.2	1.01115329970681	1.02174044625689	1.0439549465559	
9038.4	1.01115740961234	1.02174044625689	1.04442350034446	
9038.6	1.01116151951787	1.02174044625689	1.05040735149923	
9038.8	1.0111656294234	1.02187464654235	1.05493655405063	
9039	1.01116973932893	1.02786892596308	1.05534797949928	
9039.2	1.01117384923446	1.03261066938534	1.06134325369695	
9039.4	1.01117795913999	1.03261066938534	1.06591816154537	
9039.6	1.01282603125782	1.0326375094425	1.06593435860657	
9039.8	1.01598106873689	1.03624302378047	1.06627065949725	
