,monoE,roi4_mean,roi4_std,mcaLt_mean,mcaLt_std,roi4/mcaLt_mean,roi4/mcaLt_std
134,8.429,7038.0,,1.6290822,,4320.223988697439,
135,8.43,6877.0,,1.6367005,,4201.746134983157,
136,8.431,7100.0,,1.6245853,,4370.3460815507815,
137,8.432,6932.0,,1.6291776,,4254.907506707679,
138,8.433,6758.0,,1.6289059,,4148.797054513708,
139,8.434,6804.0,,1.6319965,,4169.126588200404,
140,8.435,6804.0,,1.631799,,4169.631186193888,
141,8.436,6687.0,,1.6275626,,4108.597727669584,
142,8.437,6790.0,,1.635959,,4150.470763631607,
143,8.438,6859.0,,1.6360701,,4192.363151187715,
144,8.439,6585.0,,1.6365933,,4023.601954132405,
145,8.44,6597.0,,1.6392262,,4024.459833548293,
146,8.441,6548.0,,1.6301187,,4016.885396137104,
147,8.442,6505.0,,1.6284736,,3994.538198224399,
148,8.443,6739.0,,1.6327178,,4127.473835343744,
149,8.443999999999999,6597.0,,1.6363034,,4031.648409457561,
150,8.445,6663.0,,1.6314669,,4084.054662708757,
151,8.446,6491.0,,1.6397642,,3958.4959837518095,
152,8.447,6564.0,,1.6393546,,4004.014750682982,
153,8.448,6373.0,,1.6486982,,3865.47398426225,
154,8.449,6305.0,,1.6552272,,3809.1447506420873,
155,8.45,6302.0,,1.6552874,,3807.193844404301,
