monoE,diode1_mean,diode1_std,AS_IC_mean,AS_IC_std,diode1/AS_IC_mean,diode1/AS_IC_std
9.0165,26142262.0,,1.57201e-09,,1.6629831871298528e+16,
9.01678,26159783.0,,1.57201e-09,,1.6640977474697998e+16,
9.017,26109227.0,,1.57201e-09,,1.660881737393528e+16,
9.0175,25945722.0,,1.57201e-09,,1.6504807221328108e+16,
9.01799,25687062.0,,1.57201e-09,,1.6340266283293362e+16,
9.018,25682931.0,,1.57201e-09,,1.633763843741452e+16,
9.0185,25367279.0,,1.57201e-09,,1.613684327707839e+16,
9.019,25082401.0,,1.57201e-09,,1.5955624328089516e+16,
9.01921,24987138.0,,1.57201e-09,,1.58950248408089e+16,
9.02045,24195235.0,,1.57201e-09,,1.5391272956278904e+16,
9.02171,23808733.0,,1.57201e-09,,1.5145408108090916e+16,
9.02299,23690269.0,,1.57201e-09,,1.5070049808843454e+16,
9.02428,23182688.0,,1.57201e-09,,1.4747163185984822e+16,
9.0256,22830403.0,,1.57201e-09,,1.4523064738773926e+16,
9.02693,22530346.0,,1.57201e-09,,1.4332189998791356e+16,
9.02829,22463905.0,,1.57201e-09,,1.4289925000477096e+16,
9.02966,22571931.0,,1.57201e-09,,1.4358643392853734e+16,
9.03105,22707910.0,,1.57201e-09,,1.4445143478731052e+16,
9.03246,23055637.0,,1.57201e-09,,1.4666342453292282e+16,
9.03389,23284353.0,,1.57201e-09,,1.4811835166442962e+16,
9.03534,23400810.0,,1.57201e-09,,1.488591675625473e+16,
9.0368,23354872.0,,1.57201e-09,,1.4856694295837812e+16,
9.03829,23365542.0,,1.57201e-09,,1.486348178446702e+16,
9.03979,23169339.0,,1.57201e-09,,1.473867150972322e+16,
9.04131,22898260.0,,1.57201e-09,,1.4566230494716954e+16,
9.04286,22673532.0,,1.57201e-09,,1.4423274661102664e+16,
9.04442,22478338.0,,1.57201e-09,,1.429910623978219e+16,
9.046,22390225.0,,1.57201e-09,,1.4243055069624238e+16,
9.04759,22317824.0,,1.57201e-09,,1.419699874682731e+16,
9.04921,22203802.0,,1.57201e-09,,1.4124466129350322e+16,
9.05085,21985245.0,,1.57201e-09,,1.398543584328344e+16,
9.0525,21839324.0,,1.57201e-09,,1.3892611370156678e+16,
9.05418,21712779.0,,1.57201e-09,,1.3812112518368204e+16,
9.05587,21561608.0,,1.57201e-09,,1.3715948371829696e+16,
9.05758,21332701.0,,1.57201e-09,,1.3570334158179656e+16,
9.05931,21086493.0,,1.57201e-09,,1.3413714289349304e+16,
9.06106,20867724.0,,1.57201e-09,,1.3274549144089414e+16,
9.06283,20397694.0,,1.57201e-09,,1.29755497738564e+16,
9.06461,19859660.0,,1.57201e-09,,1.263329113682483e+16,
9.06642,19770362.0,,1.57201e-09,,1.2576486154668228e+16,
9.06824,19678639.0,,1.57201e-09,,1.2518138561459532e+16,
9.07009,19369491.0,,1.57201e-09,,1.2321480779384354e+16,
9.07195,19203367.0,,1.57201e-09,,1.2215804606840924e+16,
9.07383,19082570.0,,1.57201e-09,,1.213896222034211e+16,
9.07573,19164902.0,,1.57201e-09,,1.2191335932977526e+16,
9.07765,19568350.0,,1.57201e-09,,1.2447980610810364e+16,
9.07958,19866628.0,,1.57201e-09,,1.2637723678602554e+16,
9.08154,20270165.0,,1.57201e-09,,1.2894424971851324e+16,
9.08352,20777889.0,,1.57201e-09,,1.321740256105241e+16,
9.08551,21055787.0,,1.57201e-09,,1.3394181334724334e+16,
9.08752,21613595.0,,1.57201e-09,,1.3749018772145216e+16,
9.08955,22026409.0,,1.57201e-09,,1.401162142734461e+16,
9.0916,22303074.0,,1.57201e-09,,1.4187615854860974e+16,
9.09367,22636290.0,,1.57201e-09,,1.4399583972112136e+16,
9.09576,22974839.0,,1.57201e-09,,1.4614944561421364e+16,
9.09787,23234684.0,,1.57201e-09,,1.4780239311454762e+16,
9.09999,23545222.0,,1.57201e-09,,1.4977781311823716e+16,
9.10214,23516661.0,,1.57201e-09,,1.4959612852335544e+16,
9.1043,23471404.0,,1.57201e-09,,1.493082359526975e+16,
9.10649,23341586.0,,1.57201e-09,,1.4848242695657152e+16,
9.10869,23202208.0,,1.57201e-09,,1.475958040979383e+16,
9.11091,23070600.0,,1.57201e-09,,1.4675860840579894e+16,
9.11315,22994442.0,,1.57201e-09,,1.4627414583876692e+16,
9.1154,22986303.0,,1.57201e-09,,1.4622237135896082e+16,
9.11768,22939889.0,,1.57201e-09,,1.4592711878423164e+16,
9.11997,22911428.0,,1.57201e-09,,1.4574607031761884e+16,
9.12229,22543887.0,,1.57201e-09,,1.4340803811680586e+16,
9.12462,22417723.0,,1.57201e-09,,1.4260547324762564e+16,
9.12697,22243068.0,,1.57201e-09,,1.4149444341957112e+16,
9.12934,22077667.0,,1.57201e-09,,1.4044228090152098e+16,
9.13173,21774347.0,,1.57201e-09,,1.3851277663628094e+16,
9.13414,21794327.0,,1.57201e-09,,1.3863987506440798e+16,
9.13657,21834209.0,,1.57201e-09,,1.3889357574061234e+16,
9.13902,21791969.0,,1.57201e-09,,1.3862487515982722e+16,
9.14148,21556169.0,,1.57201e-09,,1.3712488470175126e+16,
9.14396,20792006.0,,1.57201e-09,,1.322638278382453e+16,
9.14647,21816097.0,,1.57201e-09,,1.3877836018854842e+16,
9.14899,22492369.0,,1.57201e-09,,1.4308031755523184e+16,
9.15153,22850976.0,,1.57201e-09,,1.453615180565009e+16,
9.15409,23268771.0,,1.57201e-09,,1.4801923015756896e+16,
9.15667,23597354.0,,1.57201e-09,,1.5010943950738226e+16,
9.15926,23914997.0,,1.57201e-09,,1.5213005642457744e+16,
9.16188,24378702.0,,1.57201e-09,,1.550798150138994e+16,
9.16451,24445953.0,,1.57201e-09,,1.5550761763602012e+16,
9.16717,24175804.0,,1.57201e-09,,1.5378912347885828e+16,
