monoE,diode1_mean,diode1_std,AS_IC_mean,AS_IC_std,diode1/AS_IC_mean,diode1/AS_IC_std
9.0175,23399646.0,583953.0579276043,1.59044e-09,2.57577405841428e-11,1.4714304467610358e+16,387526952789136.25
9.01799,23481791.0,562321.6496036765,1.5879133333333334e-09,2.591388109360181e-11,1.4789433821745102e+16,372663087736502.44
9.018,23439291.666666668,599761.1188901237,1.5889466666666667e-09,2.5456019589349256e-11,1.4752936199750698e+16,390443682524705.3
9.0185,23478531.666666668,602386.032422178,1.5882366666666668e-09,2.6054100125188223e-11,1.4784040211303222e+16,377060539989387.25
9.019,23522472.333333332,563549.6763128637,1.5870433333333334e-09,2.6333234387999768e-11,1.4822842909765514e+16,350988186642285.56
9.01921,23550822.0,532461.2311361269,1.5863099999999999e-09,2.5730423626516587e-11,1.484784836328624e+16,352680826786399.75
9.02045,23788450.666666668,614746.1712587831,1.5845233333333333e-09,2.6125026953734024e-11,1.5014711074579306e+16,408302763612627.6
9.02171,24746675.0,641120.0491912571,1.58271e-09,2.5675784311292206e-11,1.5637121509600826e+16,412761375424490.1
9.02299,25542948.666666668,631968.8224377315,1.5817266666666666e-09,2.4875217251982657e-11,1.6150066696677864e+16,397834644271467.2
9.02428,26192229.0,626088.1584441604,1.58022e-09,2.560216592399937e-11,1.657624687251513e+16,380503210498881.06
9.0256,26659363.0,696665.6601814101,1.5788766666666667e-09,2.586053814856402e-11,1.688597039078279e+16,408845917240996.5
9.02693,26998532.666666668,663589.8259627954,1.5773033333333334e-09,2.5835828481651826e-11,1.7117990653757626e+16,394658334564238.6
9.02829,27083036.0,712767.4648179447,1.5756066666666668e-09,2.639754786591613e-11,1.718971851588265e+16,402410516538877.4
9.02966,26909227.666666668,682737.6262169335,1.57335e-09,2.6818204637894742e-11,1.7104084537017382e+16,390724469671003.06
9.03105,26425014.0,672842.1550088847,1.5712066666666665e-09,2.5890608979576578e-11,1.6819162630971344e+16,389174170595491.4
9.03246,25708461.666666668,659408.8279514714,1.5694866666666666e-09,2.587537890221775e-11,1.6380712939021646e+16,361998650617756.06
9.03389,24854092.666666668,626202.4857283251,1.5657433333333335e-09,2.690569890066662e-11,1.5874606638602686e+16,362762023496670.1
9.03534,23985988.333333332,633527.1626491902,1.5639599999999998e-09,2.612264152033633e-11,1.533733720267532e+16,358632318490451.94
9.0368,23077935.0,554320.4629237496,1.5606433333333334e-09,2.5732472351745233e-11,1.4788521468578238e+16,339555776859719.94
9.03829,22259755.333333332,490953.15889841615,1.5585133333333333e-09,2.5656372177947037e-11,1.4283951459076912e+16,314478828604234.25
9.03979,21405888.666666668,425867.00103357766,1.5552533333333333e-09,2.597802212127274e-11,1.376509219405275e+16,290302920557788.9
9.04131,20627988.333333332,383136.29609491903,1.5543433333333333e-09,2.5530127953720338e-11,1.3273030077840358e+16,294923127038451.8
9.04286,19994956.333333332,307381.9425931417,1.5525633333333334e-09,2.624420380452286e-11,1.2880908312627784e+16,280524947460008.22
9.04442,19493471.0,187146.31141435835,1.5507233333333335e-09,2.6520479507982743e-11,1.2572782644584038e+16,228421873291005.12
9.046,19130803.0,150244.9575692975,1.54993e-09,2.6890215692701306e-11,1.2344931053669184e+16,186120816646537.7
9.04759,18806954.666666668,94749.59104045482,1.54876e-09,2.855129244009809e-11,1.2145262209727936e+16,165533290119419.16
9.04921,18528286.666666668,206843.78795200388,1.5475e-09,2.9254047583197764e-11,1.197437904832841e+16,119711974154377.75
9.05085,18302583.666666668,281514.79142370756,1.5459433333333334e-09,2.950346476828339e-11,1.1840534974855016e+16,180270718657162.75
9.0525,18288347.666666668,386618.130635817,1.5458033333333335e-09,3.0328371755393346e-11,1.1831972109288314e+16,209152378588778.88
9.05418,18363856.666666668,460274.79470565595,1.5454766666666666e-09,3.058585021432842e-11,1.1882892764122982e+16,230092682289758.78
9.05587,18607092.0,552130.3237606136,1.5465299999999998e-09,3.1589208600406546e-11,1.203126879761065e+16,240683256393105.75
9.05758,18891229.666666668,615167.6262453462,1.5459099999999999e-09,3.217646966340458e-11,1.2219387740600754e+16,256668076878544.1
9.05931,19129378.333333332,655558.1660610542,1.5464333333333333e-09,3.299428788947156e-11,1.2368922509727562e+16,264380146247458.7
9.06106,19544920.333333332,678076.7153651073,1.5461333333333334e-09,3.353196286132576e-11,1.263998308399913e+16,268767210442252.3
9.06283,19764036.666666668,686538.6068862653,1.5351866666666669e-09,3.5069555647788554e-11,1.2872644203637398e+16,245016693668557.34
9.06461,20003034.666666668,622928.8374801201,1.52162e-09,3.443259066640211e-11,1.3145091377154294e+16,218728603018479.8
9.06642,20476710.0,669124.9098845447,1.5392666666666665e-09,3.298574287981602e-11,1.3301795469603974e+16,252886429741853.84
9.06824,20825167.666666668,603873.1047706413,1.5542566666666665e-09,3.3497054099328436e-11,1.339831708426371e+16,220293687187184.25
9.07009,21118005.333333332,572895.5248038971,1.55676e-09,3.6173610546916666e-11,1.3565731447256024e+16,226904178691751.8
9.07195,21214361.333333332,736514.2578133383,1.55123e-09,4.199834401497273e-11,1.3674953891222006e+16,232155875420226.4
9.07383,21551578.666666668,466825.705244831,1.5541066666666666e-09,3.214032098989273e-11,1.3868088253151328e+16,180836148726824.4
9.07573,21733101.333333332,457284.107994508,1.55078e-09,3.231525491157388e-11,1.401488240381319e+16,162477222297393.4
9.07765,21843032.0,414403.41993159277,1.54713e-09,3.289972188332294e-11,1.4119471335388158e+16,161696953156569.72
9.07958,21922828.666666668,362806.4657104855,1.5394666666666668e-09,3.2492645834609015e-11,1.4241688663529766e+16,119955195488537.1
9.08154,21953823.666666668,378707.4545573849,1.5352366666666667e-09,3.1626296547862366e-11,1.4300844892272648e+16,109084814981533.98
9.08352,22040461.666666668,406589.8868815281,1.5395866666666666e-09,3.276190521525469e-11,1.4316671945812362e+16,113422871016557.22
9.08551,21982484.0,399798.15324610996,1.5299900000000002e-09,3.2954624865108065e-11,1.4368597604057766e+16,98230945505171.33
9.08752,22163404.666666668,436832.5085365486,1.5346533333333334e-09,3.240381819065975e-11,1.4442550597719834e+16,116303056001631.92
9.08955,22287911.666666668,421802.45488893706,1.54485e-09,3.3559378718921445e-11,1.442805298308744e+16,107284454862272.06
9.0916,22349932.333333332,456328.4481164119,1.5463966666666669e-09,3.377925448160943e-11,1.4453518427630026e+16,116475826644607.55
9.09367,22382031.666666668,478071.4700652339,1.5442766666666665e-09,4.132582888864219e-11,1.4495382204748344e+16,156880116221823.53
9.09576,22464786.333333332,454165.2918721694,1.5518966666666667e-09,3.233144186907432e-11,1.4476191194687798e+16,126581199480295.86
9.09787,22536196.333333332,458654.34807634045,1.5530566666666667e-09,3.2281332582985616e-11,1.4511250855218416e+16,114334635901220.72
9.09999,22574713.333333332,446566.6767240172,1.5523666666666668e-09,3.148172856330048e-11,1.4542554879694312e+16,120217728608970.98
9.10214,22612502.666666668,458496.47264110314,1.5504566666666667e-09,3.0727008206679346e-11,1.458458127332485e+16,107202357952797.2
9.1043,22582828.666666668,434714.7557448836,1.5464900000000001e-09,3.1490519208167945e-11,1.4603107150597762e+16,107128947676579.03
9.10649,22621570.333333332,449255.6466081788,1.5389700000000001e-09,3.1206308657064886e-11,1.4699796319287374e+16,158290266572930.38
9.10869,22584207.666666668,444312.0243503813,1.5402166666666666e-09,3.2251282661831165e-11,1.466349061914217e+16,100863314771499.42
9.11091,22499479.0,473942.40080520336,1.5360266666666666e-09,3.294497584356886e-11,1.4648125207774142e+16,94142802898444.1
9.11315,22469671.333333332,467707.483868211,1.5317766666666668e-09,3.3156076868853566e-11,1.4669413025849994e+16,96655943567214.31
9.1154,22483043.0,432799.5256039452,1.5291700000000002e-09,3.3111821151969254e-11,1.4703422051485926e+16,83722662883927.78
9.11768,22496486.333333332,444080.1020371582,1.5282366666666666e-09,3.184158339865235e-11,1.4720895081442342e+16,73545497524164.14
9.11997,22434253.0,423802.39378866187,1.5273733333333334e-09,3.0622616369822633e-11,1.4688486828632246e+16,77148598664500.08
9.12229,22209643.0,425534.8500804605,1.5278100000000001e-09,3.064569790362098e-11,1.4537165059358594e+16,58175943797523.14
9.12462,22158263.666666668,435007.906936568,1.53032e-09,3.046166935675053e-11,1.4479626664212888e+16,57322743204572.81
9.12697,22011358.666666668,428842.8737805186,1.53195e-09,2.930511900675375e-11,1.4368269748649456e+16,77033486728669.39
9.12934,21805537.333333332,436040.95038463175,1.5328599999999998e-09,2.8869490816431157e-11,1.4225499059115904e+16,117074168179381.61
9.13173,21589814.0,471128.5257676508,1.5398999999999998e-09,3.260239715112974e-11,1.4020201124922762e+16,49680109995003.234
9.13414,21440002.333333332,471192.12672150286,1.5393233333333333e-09,3.2791953789509625e-11,1.3928130189084014e+16,52076201312694.15
9.13657,21271020.333333332,452311.76890097925,1.5362933333333334e-09,3.281940635254301e-11,1.3845764312035344e+16,52165178860580.99
9.13902,21108608.333333332,469833.01583683206,1.5208766666666667e-09,3.760042597276447e-11,1.3879970977108934e+16,87276017683423.11
9.14148,20535382.333333332,387952.65259350004,1.46374e-09,2.8478925541529797e-11,1.4029548900638176e+16,47805091982908.53
9.14396,20437082.333333332,469638.2497160265,1.45089e-09,2.923757171859532e-11,1.408561879159619e+16,111523008440862.42
9.14647,21190062.666666668,451549.6750882828,1.5176866666666665e-09,3.0757765415149007e-11,1.3962115574091114e+16,98109674207934.44
9.14899,21450436.0,476833.2280252709,1.53057e-09,3.014352832698923e-11,1.4014449905462322e+16,106518527041960.7
9.15153,21512875.0,484822.34057848447,1.5306733333333331e-09,2.957957459689604e-11,1.4054205424595934e+16,114693375748790.88
9.15409,21586603.666666668,519124.66089980147,1.5296466666666665e-09,3.033605500610343e-11,1.4111533970365296e+16,103462739724815.23
9.15667,21522217.666666668,483865.6642295812,1.5160733333333334e-09,3.103288793092476e-11,1.4195710337685128e+16,62013681383267.86
9.15926,21640289.333333332,480472.2589633379,1.5191733333333333e-09,2.940970304735046e-11,1.4244331716328142e+16,69387005294789.57
9.16188,21937602.0,458305.142073488,1.5381166666666666e-09,2.64635453659053e-11,1.4262096944581648e+16,73345595167169.92
9.16451,22040197.666666668,470227.5444764309,1.53636e-09,2.6743842281915978e-11,1.4345127313497526e+16,74683378966816.9
9.16717,22102847.666666668,457991.8602653696,1.52119e-09,2.6147359331297725e-11,1.4529410341329338e+16,61880104055445.9
9.16984,22551268.333333332,461132.6590649733,1.53461e-09,2.4412523425487902e-11,1.4694484175543734e+16,88218384529380.47
9.17253,22938744.666666668,458587.42246199225,1.551253333333333e-09,2.4184791364271346e-11,1.4786613058130832e+16,81448350574277.53
9.17524,23292023.333333332,467401.5966653654,1.55468e-09,2.230291236587731e-11,1.4981054200867968e+16,85953002920152.94
9.17797,23516005.666666668,487880.65048978303,1.5670666666666668e-09,2.499472410996646e-11,1.500580351727759e+16,116136720782647.27
9.18071,23522993.333333332,460391.99096241116,1.5699433333333334e-09,2.5659930501334773e-11,1.4982947798684854e+16,91988052407163.98
9.18348,23472576.333333332,480874.64521362825,1.5711933333333333e-09,2.648997797910248e-11,1.4938968564753986e+16,117810488292094.64
9.18627,23272708.0,490604.2873080096,1.5712866666666668e-09,2.7964551370142292e-11,1.4810847378929714e+16,101670755878198.45
9.18907,23107235.333333332,506204.7989513067,1.5696400000000002e-09,2.8634065376750095e-11,1.4720836065900752e+16,93538524899742.39
